hotspot_fid,hotspot_id,source_year,legal_dong_code,site_code,district,place_name,display_name,accidents,casualties,deaths,serious_injuries,minor_injuries,reported_injuries,center_lng,center_lat,risk_score,risk_score_norm,risk_percentile,risk_level,risk_level_ko
6778945,2022040,2022,1141011800,11410002,서울특별시 서대문구2,서울특별시 서대문구 홍은동(홍은사거리 부근),서울 서대문구 홍은동(홍은사거리 부근),9,9,1,8,0,0,126.941406520096,37.591515334966,51.0,0.2133,0.8629,high,고위험
6778948,2022040,2022,1141010400,11410003,서울특별시 서대문구3,서울특별시 서대문구 미근동(서대문역 부근),서울 서대문구 미근동(서대문역 부근),8,9,0,9,0,0,126.966281733716,37.566032256085,44.0,0.12,0.6779,medium,주의
6778980,2022040,2022,1141011600,11410004,서울특별시 서대문구4,서울특별시 서대문구 창천동(창천오피스텔 부근),서울 서대문구 창천동(창천오피스텔 부근),8,8,0,8,0,0,126.931888776347,37.562086110986,40.0,0.0667,0.5282,medium,주의
6779361,2022040,2022,1141011100,11410005,서울특별시 서대문구5,서울특별시 서대문구 홍제동(홍제교 부근),서울 서대문구 홍제동(홍제교 부근),7,10,2,5,3,0,126.943897071993,37.591707364504,50.0,0.2,0.8407,high,고위험
6779027,2022040,2022,1141011900,11410006,서울특별시 서대문구6,서울특별시 서대문구 북가좌동(은현교회 부근),서울 서대문구 북가좌동(은현교회 부근),7,8,0,7,0,1,126.914729028223,37.584535872833,35.5,0.0067,0.3276,low,관심
6779515,2022040,2022,1141011200,11410007,서울특별시 서대문구7,서울특별시 서대문구 대현동(신촌기차역입구교차로 부근),서울 서대문구 대현동(신촌기차역입구교차로 부근),7,7,0,7,0,0,126.943929295602,37.556915626156,35.0,0.0,0.3196,low,관심
6778886,2022040,2022,1144010400,11440001,서울특별시 마포구1,서울특별시 마포구 도화동(진도빌딩 부근),서울 마포구 도화동(진도빌딩 부근),7,9,0,8,1,0,126.94745086087,37.539986809545,40.0,0.0667,0.5282,medium,주의
6779020,2022040,2022,1144010400,11440002,서울특별시 마포구2,서울특별시 마포구 도화동(독막길입구 부근),서울 마포구 도화동(독막길입구 부근),7,8,0,8,0,0,126.949931771135,37.541260281937,39.0,0.0533,0.432,medium,주의
6779192,2022040,2022,1144012000,11440003,서울특별시 마포구3,서울특별시 마포구 서교동(태성빌딩 부근),서울 마포구 서교동(태성빌딩 부근),7,8,0,7,1,0,126.921108628162,37.550496513604,36.0,0.0133,0.3785,low,관심
6778870,2022040,2022,1147010200,11470001,서울특별시 양천구1,서울특별시 양천구 목동(서울도시가스앞교차로 부근),서울 양천구 목동(서울도시가스앞교차로 부근),10,10,0,10,0,0,126.872232932805,37.546821658893,50.0,0.2,0.8407,high,고위험
6779053,2022040,2022,1147010300,11470002,서울특별시 양천구2,서울특별시 양천구 신월동(곰달래사거리 부근),서울 양천구 신월동(곰달래사거리 부근),8,10,0,10,0,0,126.838195240919,37.529870768422,48.0,0.1733,0.7939,medium,주의
6779140,2022040,2022,1147010300,11470003,서울특별시 양천구3,서울특별시 양천구 신월동(대한빌라 부근),서울 양천구 신월동(대한빌라 부근),7,9,0,8,1,0,126.832286176167,37.532541543558,40.0,0.0667,0.5282,medium,주의
6779060,2022040,2022,1147010300,11470004,서울특별시 양천구4,서울특별시 양천구 신월동(서서울호수공원앞교차 부근),서울 양천구 신월동(서서울호수공원앞교차 부근),7,8,0,8,0,0,126.832766181215,37.529479679345,39.0,0.0533,0.432,medium,주의
6778955,2022040,2022,1147010300,11470005,서울특별시 양천구5,서울특별시 양천구 신월동(명성빌딩 부근),서울 양천구 신월동(명성빌딩 부근),7,9,0,7,0,2,126.851612021479,37.522734412364,36.0,0.0133,0.3785,low,관심
6779080,2022040,2022,1147010300,11470006,서울특별시 양천구6,서울특별시 양천구 신월동(신월사거리 부근),서울 양천구 신월동(신월사거리 부근),7,7,0,7,0,0,126.828637065449,37.535585429425,35.0,0.0,0.3196,low,관심
6779341,2022040,2022,1147010100,11470007,서울특별시 양천구7,서울특별시 양천구 신정동(영등포여상사거리 부근),서울 양천구 신정동(영등포여상사거리 부근),7,7,0,7,0,0,126.858604919483,37.525476641335,35.0,0.0,0.3196,low,관심
6779109,2022040,2022,1147010200,11470008,서울특별시 양천구8,서울특별시 양천구 목동(롯데캐슬위너앞사거리 부근),서울 양천구 목동(롯데캐슬위너앞사거리 부근),7,7,0,7,0,0,126.866334393718,37.548232303079,35.0,0.0,0.3196,low,관심
6779225,2022040,2022,1147010200,11470009,서울특별시 양천구9,서울특별시 양천구 목동(SC제일은행등촌지점 부근),서울 양천구 목동(SC제일은행등촌지점 부근),7,7,0,7,0,0,126.863619108436,37.548037431683,35.0,0.0,0.3196,low,관심
6779245,2022040,2022,1147010100,11470010,서울특별시 양천구10,서울특별시 양천구 신정동(이화빌딩 부근),서울 양천구 신정동(이화빌딩 부근),7,7,0,7,0,0,126.861320909833,37.525491360539,35.0,0.0,0.3196,low,관심
